Trade_date,Trade_time,Market,Return
2012-11-07,15:00:00,bond_1,-0.25783317326132504
2012-11-20,15:30:00,bond_1,0.0222103660715368
2012-11-28,15:00:00,bond_1,-0.43600961543045
2012-12-03,15:00:00,bond_1,-0.209771158743096
2012-12-05,15:00:00,bond_1,-0.313398376723782
2012-12-06,15:30:00,bond_1,-0.25122527364318503
2012-12-21,17:00:00,bond_1,-0.0671232868298293
2012-12-27,15:30:00,bond_1,0.175075099941432
2013-01-02,15:00:00,bond_1,0.5239754649051299
2013-01-03,19:30:00,bond_1,0.4245974055094179
2013-01-04,16:30:00,bond_1,-0.18605076103522605
2013-01-10,15:00:00,bond_1,0.8031489056735949
2013-01-15,15:00:00,bond_1,-0.443149460959391
2013-01-17,15:00:00,bond_1,-0.149109891984012
2013-01-18,16:00:00,bond_1,0.23423451843212695
2013-01-23,16:00:00,bond_1,-0.336140843611244
2013-01-25,15:00:00,bond_1,0.7433050774864429
2013-01-28,15:00:00,bond_1,-0.383722968759617
2013-02-01,15:00:00,bond_1,-1.55871575997933
2013-02-04,15:00:00,bond_1,1.24000999504973
2013-02-05,15:00:00,bond_1,-0.5860557745466071
2013-02-13,15:00:00,bond_1,-0.0319814955378092
2013-02-14,15:00:00,bond_1,0.24806473420929895
2013-02-21,15:00:00,bond_1,0.33832439231266803
2013-02-25,15:00:00,bond_1,1.91208719867147
2013-02-26,16:30:00,bond_1,0.18571858187985896
2013-03-01,15:00:00,bond_1,0.117072731506638
2013-03-07,15:30:00,bond_1,-0.553957735205971
2013-03-08,15:00:00,bond_1,-0.843501754932403
2013-03-12,15:00:00,bond_1,-0.104934459129883
2013-03-18,15:00:00,bond_1,0.179789338731841
2013-03-19,16:00:00,bond_1,-0.110184771597421
2013-03-20,15:00:00,bond_1,0.17653513631609
2013-03-25,17:00:00,bond_1,-0.39400702785941294
2013-03-27,15:00:00,bond_1,0.0
2013-04-04,18:30:00,bond_1,0.109465341884311
2013-04-12,15:00:00,bond_1,0.38999240471528
2013-04-16,15:00:00,bond_1,0.067466435891438
2013-04-17,15:30:00,bond_1,-0.0257034614350403
2013-05-02,15:00:00,bond_1,-0.118866385514411
2013-05-03,15:00:00,bond_1,0.258079876314839
2013-05-07,15:00:00,bond_1,-0.0511360109170719
2013-05-10,15:00:00,bond_1,1.06831079491125
2013-05-15,15:00:00,bond_1,-0.0963138545889851
2013-05-16,16:30:00,bond_1,-0.0664636827393247
2013-05-21,15:30:00,bond_1,-0.553107995763261
2013-05-28,16:30:00,bond_1,0.0233725829755472
2013-06-03,15:00:00,bond_1,-1.04216215736496
2013-06-06,15:00:00,bond_1,-1.28876444150503
2013-06-07,18:30:00,bond_1,-0.132980794616896
2013-06-10,17:00:00,bond_1,0.0223488993166945
2013-06-13,15:00:00,bond_1,-0.19484638922655806
2013-06-14,15:30:00,bond_1,-0.19654593883976
2013-06-20,19:00:00,bond_1,-0.406616957980467
2013-06-21,15:00:00,bond_1,0.874089832372302
2013-06-24,15:00:00,bond_1,-1.92012399843127
2013-06-26,15:00:00,bond_1,0.0
2013-06-27,15:00:00,bond_1,-0.31688353766591
2013-06-28,15:00:00,bond_1,-1.1562841570386102
2013-07-02,19:30:00,bond_1,-0.111183291620855
2013-07-04,15:00:00,bond_1,-0.988643887542231
2013-07-05,15:00:00,bond_1,0.102004754970474
2013-07-09,16:00:00,bond_1,0.32177576633556204
2013-07-11,16:00:00,bond_1,-0.16933379233460594
2013-07-12,15:00:00,bond_1,-0.44820487914242896
2013-07-23,15:00:00,bond_1,-0.32333593456488896
2013-07-24,15:00:00,bond_1,1.35750172676418
2013-08-05,15:30:00,bond_1,0.0242862439187323
2013-08-13,15:00:00,bond_1,1.19403011668242
2013-08-15,15:00:00,bond_1,-1.32902927727479
2013-08-20,15:00:00,bond_1,0.224856898287591
2013-08-21,15:00:00,bond_1,-0.0
2013-08-23,15:00:00,bond_1,-1.26491659058597
2013-08-26,16:00:00,bond_1,-4.74820108119288
2013-08-27,15:00:00,bond_1,0.796738817320975
2013-08-28,15:30:00,bond_1,0.19868970179773895
2013-08-29,19:00:00,bond_1,-0.133656140198116
2013-09-05,15:00:00,bond_1,0.5825301899627049
2013-09-06,15:00:00,bond_1,-1.4901198360783705
2013-09-10,15:00:00,bond_1,-0.0702239091350106
2013-09-11,15:00:00,bond_1,0.324785746952399
2013-09-12,15:00:00,bond_1,-0.9531641729425
2013-09-13,15:30:00,bond_1,-0.199439301718164
2013-09-16,15:00:00,bond_1,-1.27213523798122
2013-09-19,18:30:00,bond_1,0.15672017949098402
2013-09-24,15:00:00,bond_1,0.800806282077433
2013-09-27,15:00:00,bond_1,-0.13649725019372
2013-10-07,15:00:00,bond_1,-0.370180526287524
2013-10-10,15:00:00,bond_1,-0.178747772892523
